GENDER,STRATUM,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,PROMEDIO
M,Stratum 3,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,68,54,65,62,57,60
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,86,82,82,90,85
F,Stratum 2,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,74,62,58,66,58,61
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,70,69,62,71,62,66
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,66,74,64,78,95,78
F,Stratum 3,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,69,73,67,58,67
M,Stratum 3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,70,62,77,69,49,64
M,Stratum 2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,73,56,70,77,78,70
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,64,77,72,54,67
M,Stratum 2,Yes,No,No,No,Yes,No,No,Yes,Yes,No,PUBLIC,TECHNICAL,77,55,54,74,80,66
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,60,62,63,59,61
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,66,58,68,60,63
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,66,62,68,48,61
M,Stratum 3,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,64,74,70,74,72,73
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,68,67,62,67,64,65
M,Stratum 4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,75,64,60,42,60
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,57,56,53,55,55
M,Stratum 1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,52,43,41,43,40,42
M,Stratum 3,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,63,51,50,65,52,55
M,Stratum 4,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,96,74,100,87,95,89
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,73,81,70,71,72,74
M,Stratum 2,No,No,Yes,Yes,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,58,53,50,61,49,53
F,Stratum 3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,50,49,52,68,55
M,Stratum 3,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,70,66,73,66,65,68
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,41,36,43,43,41
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,54,53,61,50,55
M,Stratum 2,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,73,62,73,81,53,67
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,87,65,67,63,82,69
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,55,50,43,46,49
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,55,48,66,64,58
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,63,68,73,68,49,65
F,Stratum 2,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,52,59,47,56,55,54
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,56,63,73,61,72,67
F,Stratum 2,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,73,77,62,74,82,74
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,59,60,52,64,65,60
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,57,43,53,58,52,52
F,Stratum 1,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,62,66,67,61,62,64
M,Stratum 4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,78,69,67,68,100,76
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,56,56,58,60,58
M,Stratum 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,74,74,77,78,65,74
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,68,67,64,67,90,72
M,Stratum 1,No,No,Yes,No,Yes,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,50,46,33,45,48,43
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,64,64,58,72,74,67
M,Stratum 2,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,76,71,65,65,68,67
M,Stratum 2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,58,65,62,69,54,63
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,58,61,58,55,76,63
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,56,48,58,64,50,55
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,58,66,70,52,43,58
F,Stratum 1,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,45,35,52,47,40,44
M,Stratum 2,No,No,Yes,No,Yes,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,43,55,56,57,42,53
M,Stratum 3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,65,71,73,62,55,65
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,87,77,100,70,76,81
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,71,67,82,80,75
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,78,73,87,85,81
M,Stratum 1,No,No,Yes,No,Yes,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,81,56,65,74,52,62
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,73,58,55,71,52,59
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,74,60,71,65,68
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,82,69,70,67,90,74
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,57,77,64,66,95,76
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,58,67,52,60,72,63
F,Stratum 1,No,No,No,No,Yes,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,76,71,60,60,57,62
F,Stratum 2,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,64,64,67,57,59,62
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,86,69,73,69,90,75
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,58,60,63,55,59
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL,67,62,65,55,55,59
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,100,81,82,81,67,78
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,86,87,91,81,90,87
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,62,69,65,58,68,65
M,Stratum 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,66,77,82,78,49,72
M,Stratum 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,67,70,69,67,68
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,64,48,49,60,50,52
M,Stratum 4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,70,54,51,64,48,54
F,Stratum 2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,39,48,62,48,50,52
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,53,50,57,53,53
M,Stratum 3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,55,54,58,61,62,59
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,73,57,58,61,82,65
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,59,58,52,62,58
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,PRIVATE,ACADEMIC,56,64,65,61,58,62
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,70,69,62,71,59,65
M,Stratum 2,No,Yes,No,No,No,Yes,No,Yes,Yes,No,PUBLIC,ACADEMIC,60,54,60,59,44,54
F,Stratum 1,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,57,62,56,46,54,55
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,78,62,60,68,60,63
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,60,50,47,59,48,51
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,64,62,82,76,71
F,Stratum 4,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,62,62,54,50,57
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,65,62,69,78,69
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,71,64,72,68,69
F,Stratum 3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,78,77,70,72,82,75
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,71,67,67,67,68
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,55,62,58,59,58,59
F,Stratum 2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL,74,72,77,87,68,76
F,Stratum 4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,81,69,65,74,82,73
M,Stratum 3,No,No,Yes,No,No,No,No,Yes,No,Yes,PRIVATE,TECHNICAL/ACADEMIC,96,78,73,100,68,80
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,56,66,53,55,53,57
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,64,71,73,66,74,71
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,70,66,67,61,70,66
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,82,62,77,87,82,77
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,55,60,60,63,62,61
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,56,57,70,54,48,57
F,Stratum 4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,57,71,70,67,72,70
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,50,58,60,43,46,52
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,81,69,70,74,82,74
M,Stratum 2,No,No,No,No,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,65,77,56,78,59,68
F,Stratum 2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,PRIVATE,ACADEMIC,67,60,62,67,50,60
M,Stratum 2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,65,56,63,44,57
M,Stratum 3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,56,75,60,71,54,65
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,59,63,55,64,58,60
M,Stratum 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL,60,59,53,61,52,56
F,Stratum 2,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,PRIVATE,TECHNICAL/ACADEMIC,53,54,62,51,55,56
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,86,74,70,69,78,73
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,59,64,62,64,64,64
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,65,67,87,74,73
M,Stratum 2,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,47,48,55,52,48,51
F,Stratum 5,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,56,57,56,59,78,63
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,69,67,69,82,72
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,74,58,68,80,70
F,Stratum 2,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,PRIVATE,TECHNICAL/ACADEMIC,73,68,62,64,62,64
M,Stratum 2,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,61,58,57,58,59
F,Stratum 3,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,88,81,90,70,70,78
M,Stratum 2,No,No,No,No,Yes,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,65,68,60,70,49,62
M,Stratum 3,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,53,66,58,56,65,61
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,68,56,67,58,62,61
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,66,70,82,95,78
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,64,65,69,72,68
F,Stratum 3,No,No,No,Yes,Yes,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,57,62,67,59,57,61
F,Stratum 3,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,61,57,62,61,65,61
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,65,64,77,95,75
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,70,71,58,71,60,65
M,Stratum 1,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,PUBLIC,ACADEMIC,51,57,64,54,38,53
F,Stratum 4,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,PUBLIC,TECHNICAL,65,65,67,63,52,62
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,87,87,82,95,100,91
F,Stratum 3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,82,59,62,71,59,63
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,56,57,58,57,52,56
M,Stratum 2,No,No,No,No,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,74,53,62,74,57,62
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,82,62,64,66,90,71
F,Stratum 3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,68,66,55,61,57,60
F,Stratum 2,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,62,64,51,63,60,60
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,68,65,64,65,95,72
F,Stratum 2,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,73,62,65,52,74,63
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,71,56,64,68,65
F,Stratum 4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,53,66,67,62,76,68
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,70,69,55,65,65,64
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,45,54,62,61,60,59
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,61,58,67,68,54,62
F,Stratum 2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,53,62,56,53,57,57
M,Stratum 2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,57,55,56,52,54,54
M,Stratum 1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,69,64,50,58,64,59
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,68,55,50,61,78,61
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,82,66,70,72,85,73
M,Stratum 3,No,No,No,No,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL,76,71,70,87,59,72
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,59,64,50,59,52,56
F,Stratum 5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,81,74,73,70,85,76
M,Stratum 2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL,63,65,56,63,52,59
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,81,86,77,78,82,81
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,72,58,60,76,67
F,Stratum 3,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,55,62,62,55,59,60
M,Stratum 2,No,No,No,No,Yes,No,No,Yes,Yes,No,PUBLIC,TECHNICAL,52,68,60,58,53,60
F,Stratum 2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,56,57,54,57,50,55
M,Stratum 3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,67,87,82,74,68,78
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,57,53,54,50,65,56
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,62,52,56,57,49,54
M,Stratum 1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,54,47,44,55,50,49
M,Stratum 1,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,PUBLIC,TECHNICAL,48,62,55,45,52,54
M,Stratum 1,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,43,49,48,52,48,49
F,Stratum 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,65,71,67,75,80,73
F,Stratum 4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,66,60,69,62,64
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,56,59,60,62,72,63
F,Stratum 1,No,No,No,No,No,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,40,38,46,48,46,45
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,62,71,47,61,67,62
F,Stratum 3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,62,64,55,65,67,63
M,Stratum 3,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,64,62,70,57,49,60
M,Stratum 3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,65,64,71,68,67
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,68,49,60,69,52,58
M,Stratum 2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,57,43,56,61,43,51
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,82,71,77,72,82,76
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,78,70,65,78,73
F,Stratum 2,No,No,No,No,No,No,No,No,Yes,No,PUBLIC,TECHNICAL,49,45,44,57,49,49
F,Stratum 3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,PRIVATE,TECHNICAL/ACADEMIC,55,58,58,55,58,57
F,Stratum 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,54,52,56,52,59,55
M,Stratum 1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,61,61,62,74,49,62
M,Stratum 2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,PUBLIC,TECHNICAL,67,60,62,74,52,62
M,Stratum 2,No,Yes,No,No,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL,57,60,64,75,48,62
F,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,55,35,51,49,64,50
F,Stratum 2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,68,72,67,71,55,66
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,73,64,58,75,58,64
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,87,82,73,95,90,85
F,Stratum 1,No,No,No,No,No,No,No,No,Yes,No,PUBLIC,TECHNICAL,86,95,70,77,78,80
F,Stratum 1,No,No,Yes,No,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,43,41,41,51,43,44
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,53,50,56,49,53,52
